Agent,Date,Grade,Market,Origin,Package,Price,Quantity,ShippingType,Species,TradeType,Unit,UnitPrice
안산농산물,20150207,특,안산농수산물도매시장,경상남도 진주시,상자,15000,1,협동,설향,경매,2,7500
안산농산물,20150207,특,안산농수산물도매시장,경상남도 진주시,상자,15000,3,협동,설향,경매,2,7500
안산농산물,20150207,특,안산농수산물도매시장,경상남도 진주시,상자,15500,19,협동,설향,경매,2,7750
안산농산물,20150207,4등,안산농수산물도매시장,경상남도 진주시,접시용기,3600,7,협동,설향,경매,1,3600
안산농산물,20150228,특,안산농수산물도매시장,충청남도 논산시,P-BOX,6700,110,개별,설향,경매,1,6700
안산농산물,20150209,특,안산농수산물도매시장,충청남도 논산시,상자,17500,108,개별,설향,경매,2,8750
안산농산물,20150209,특,안산농수산물도매시장,경상남도 진주시,상자,9500,16,협동,설향,경매,2,4750
안산농산물,20150209,특,안산농수산물도매시장,경상남도 진주시,상자,11500,3,협동,설향,경매,2,5750
안산농산물,20150209,특,안산농수산물도매시장,충청남도 논산시,P-BOX,9000,113,협동,설향,경매,1,9000
춘천원협(공),20150217,특,춘천농수산물도매시장,서울특별시 강서구,기타,12420,23,상인,기타,정가수의,1.5,8280
춘천원협(공),20150217,특,춘천농수산물도매시장,서울특별시 강서구,기타,14490,40,상인,기타,정가수의,1.5,9660
춘천원협(공),20150202,특,춘천농수산물도매시장,서울특별시 강서구,기타,23800,21,상인,기타,정가수의,2,11900
춘천원협(공),20150223,상,춘천농수산물도매시장,서울특별시 강서구,기타,5170,20,상인,기타,정가수의,1,5170
춘천원협(공),20150204,특,춘천농수산물도매시장,서울특별시 강서구,기타,18630,50,상인,기타,정가수의,2,9315
춘천원협(공),20150213,특,춘천농수산물도매시장,서울특별시 강서구,기타,9310,38,상인,기타,정가수의,1,9310
춘천원협(공),20150205,특,춘천농수산물도매시장,서울특별시 강서구,기타,18630,33,상인,기타,정가수의,1.5,12420
춘천원협(공),20150206,상,춘천농수산물도매시장,서울특별시 강서구,기타,13450,15,상인,기타,정가수의,1.5,8967
춘천중앙청과,20150217,보통,춘천농수산물도매시장,충청북도 단양군,상자,3000,33,개별,설향,경매,1,3000
춘천중앙청과,20150217,상,춘천농수산물도매시장,울산광역시 남구,상자,5000,85,개별,설향,정가수의,1,5000
춘천중앙청과,20150223,상,춘천농수산물도매시장,경상남도 합천군,상자,5000,65,개별,설향,경매,1,5000
춘천중앙청과,20150204,상,춘천농수산물도매시장,울산광역시 남구,상자,5500,316,개별,설향,정가수의,1,5500
춘천중앙청과,20150228,상,춘천농수산물도매시장,충청북도 단양군,상자,3000,10,개별,설향,경매,1,3000
강릉농산물,20150213,특,강릉농산물도매시장,경상남도 김해시,상자,15600,16,협동,기타,경매,2,7800
강릉농산물,20150225,상,강릉농산물도매시장,경상남도 김해시,상자,6900,15,협동,기타,경매,1.5,4600
강릉농산물,20150227,보통,강릉농산물도매시장,경상남도 김해시,상자,4300,19,협동,기타,경매,1.5,2867
강릉농산물,20150217,상,강릉농산물도매시장,경상남도 합천군,상자,11100,11,개별,장희,경매,1.5,7400
강릉농산물,20150206,상,강릉농산물도매시장,경상남도 김해시,상자,8300,13,협동,장희,경매,1.5,5534
강릉농산물,20150209,상,강릉농산물도매시장,경상북도 안동시,상자,3600,31,개별,설향,경매,1.5,2400
강릉농산물,20150209,특,강릉농산물도매시장,경상남도 김해시,상자,12100,28,협동,설향,경매,1.5,8067
강릉농산물,20150209,특,강릉농산물도매시장,경상남도 김해시,상자,13600,37,협동,설향,경매,1.5,9067
강릉농산물,20150209,상,강릉농산물도매시장,경상남도 김해시,상자,8500,22,협동,설향,경매,1.5,5667
강릉농산물,20150217,상,강릉농산물도매시장,경상남도 합천군,상자,3800,25,개별,설향,경매,1.5,2534
강릉농산물,20150217,상,강릉농산물도매시장,경상남도 김해시,상자,2300,27,협동,설향,경매,1.5,1534
강릉농산물,20150210,보통,강릉농산물도매시장,경상남도 김해시,상자,5500,11,협동,설향,경매,1.5,3667
강릉농산물,20150202,특,강릉농산물도매시장,경상북도 청도군,상자,12900,40,개별,설향,경매,1.5,8600
강릉농산물,20150202,특,강릉농산물도매시장,경상남도 김해시,상자,18200,15,협동,설향,경매,2,9100
