Agent,Date,Grade,Market,Origin,Package,Price,Quantity,ShippingType,Species,TradeType,Unit,UnitPrice
포항청과,20150128,보통,포항농산물도매시장,서울특별시 중구,상자,3800,4,개별,설향,경매,1,3800
포항청과,20150121,상,포항농산물도매시장,경상북도 포항시,상자,13700,27,계통,설향,경매,1.5,9134
포항청과,20150121,특,포항농산물도매시장,경상북도 경주시,상자,16600,18,계통,설향,경매,1.5,11067
포항청과,20150121,상,포항농산물도매시장,서울특별시 중구,상자,13300,6,개별,설향,경매,1.5,8867
포항청과,20150106,특,포항농산물도매시장,경상북도 경주시,상자,14000,14,계통,설향,경매,1.5,9334
포항청과,20150106,상,포항농산물도매시장,경상북도 경주시,상자,14200,14,계통,설향,경매,1.5,9467
포항청과,20150106,상,포항농산물도매시장,경상북도 경주시,상자,8600,3,계통,설향,경매,1,8600
포항청과,20150114,상,포항농산물도매시장,경상북도 영천시,상자,8200,1,계통,설향,경매,1.5,5467
포항청과,20150114,상,포항농산물도매시장,경상북도 경주시,상자,13000,45,계통,설향,경매,1.5,8667
포항청과,20150129,특,포항농산물도매시장,경상북도 영천시,상자,11500,21,계통,설향,경매,1.5,7667
포항청과,20150115,특,포항농산물도매시장,경상북도 경주시,상자,14100,14,계통,설향,경매,1.5,9400
포항청과,20150123,특,포항농산물도매시장,경상북도 영천시,상자,13000,18,계통,설향,경매,1.5,8667
포항청과,20150123,상,포항농산물도매시장,경상북도 포항시,상자,13000,12,계통,설향,경매,1.5,8667
포항청과,20150123,보통,포항농산물도매시장,경상북도 포항시,상자,6300,13,계통,설향,경매,1,6300
포항청과,20150116,상,포항농산물도매시장,경상북도 영천시,상자,7700,8,계통,설향,경매,1.5,5134
포항청과,20150116,보통,포항농산물도매시장,경상북도 영천시,상자,5200,3,계통,설향,경매,1.5,3467
포항청과,20150108,특,포항농산물도매시장,경상북도 경주시,상자,16600,70,계통,설향,경매,1.5,11067
포항청과,20150108,상,포항농산물도매시장,경상북도 경주시,상자,13000,12,계통,설향,경매,1.5,8667
포항청과,20150131,5등,포항농산물도매시장,경상북도 경주시,상자,5300,5,계통,설향,경매,1,5300
포항청과,20150131,상,포항농산물도매시장,경상북도 경주시,상자,6800,3,계통,설향,경매,1,6800
경북능금농협(공),20150117,특,포항농산물도매시장,경상북도 경주시,기타,11600,5,개별,설향,경매,1.5,7734
